address,type,value,xref_count,first_xref
"141180eb0","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",1,"1409dd10f"
"141180f20","string","DSP connection error.  Couldn't find the DSP unit specified. ",1,"1409dd117"
"141180f60","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",1,"1409dd11f"
"141181020","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",1,"1409dd127"
"141181d80","string","Couldn't connect to the specified host. ",1,"1409dd28f"
"141181e90","string","Operation could not be performed because specified sound/DSP connection is not ready. ",1,"1409dd2af"
"141184960","string","DSP connection error.  Connection possibly caused a cyclic dependancy.  Or tried to connect a tree too many units deep (more than 128). ",0,""
"1411849f0","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",0,""
"141184a58","string","DSP connection error.  Couldn't find the DSP unit specified. ",0,""
"141184aa0","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",0,""
"141184b60","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",0,""
"1411858e0","string","Couldn't connect to the specified host. ",0,""
"1411859f0","string","Operation could not be performed because specified sound/DSP connection is not ready. ",0,""
"141187a58","string","FMOD_OPENSTATE_CONNECTING",1,"1415badb8"
"1411895a0","string","DSP connection error.  Connection possibly caused a cyclic dependancy.  Or tried to connect a tree too many units deep (more than 128). ",1,"140a02ab7"
"141189630","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",1,"140a02abf"
"141189698","string","DSP connection error.  Couldn't find the DSP unit specified. ",1,"140a02ac7"
"1411896e0","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",1,"140a02acf"
"1411897a0","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",1,"140a02ad7"
"14118a520","string","Couldn't connect to the specified host. ",1,"140a02c3f"
"14118a630","string","Operation could not be performed because specified sound/DSP connection is not ready. ",1,"140a02c5f"
"141197fe0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f312"
"141198070","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"141198200","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f504"
"141198370","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f60a"
"141198530","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3eeee"
"1411985c0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ef6b"
"141198650","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"1411986e0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"141198770","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ed0e"
"141198820","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ed83"
"141198960","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3fb28"
"14119c9c2","unicode","OnlineID    :%s",0,""
"14119c9ea","unicode","OnlineName  :%s",0,""
"14119cb82","unicode","OnlineID=%s Player=%s %s",0,""
"14119cca0","string","Create OnlineIDDataManager Failed.",1,"140a4b1f9"
"14119cfb4","unicode","SessionId=%d",0,""
"14119cff8","unicode"," SessionId=%d",0,""
"14119d06c","unicode","sessionID=%d reason=%d",0,""
"14119d0c4","unicode"," missCount=%d SessionId=%d",0,""
"14119d156","unicode"," SessionId=%d",0,""
"14119d21a","unicode","SessionId=%d",0,""
"14119d35a","unicode","State=%d SessionId=%d",0,""
"14119d3ac","unicode","sessionID=%d reason=%d error=1",0,""
"14119d41c","unicode","SessionId=%d",0,""
"14119d4c0","unicode","SessionId=%d",0,""
"14119d508","unicode"," SessionId=%d",0,""
"14119d590","unicode","SessionId=%d",0,""
"14119d602","unicode","SessionId=%d",0,""
"14119d63c","unicode","sessionID=%d",0,""
"14119d6c2","unicode","SessionId=%d",0,""
"14119d7b4","unicode","SessionId=%d",0,""
"14119d7fc","unicode","SessionId=%d",0,""
"14119d834","unicode","sessionID=%d",0,""
"14119d89c","unicode","SessionId=%d",0,""
"14119d9dc","unicode","SessionId=%d",0,""
"14119da50","unicode","SessionId=%d",0,""
"14119db4c","unicode","SessionId=%d",0,""
"14119dbc4","unicode","SessionId=%d",0,""
"14119dbfc","unicode","sessionID=%d",0,""
"14119dc72","unicode","SessionId=%d",0,""
"14119dcec","unicode","SessionId=%d",0,""
"14119ddf2","unicode","SessionId=%d Time=%I64d",0,""
"14119de30","unicode","..\..\source\matching\SessionLight.cpp",1,"140a4ebda"
"14119deea","unicode","To<%s> SessionId=%d",0,""
"14119df78","unicode","SessionId=%d",0,""
"14119dfd4","unicode","SessionId=%d",0,""
"14119e018","unicode","missCount=%d SessionId=%d",0,""
"14119e178","unicode","2 SessionId=%d",0,""
"14119e1d4","unicode","2 SessionId=%d",0,""
"14119e23c","unicode","To<%s> SessionId=%d",0,""
"14119e2a0","unicode","SessionId=%d",0,""
"14119e2e2","unicode","SessionId=%d",0,""
"14119e4fa","unicode","sessionId=%d",0,""
"14119e558","unicode","player=%s sessionId=%d",0,""
"14119e5da","unicode","sessionId=%d",0,""
"14119e6fc","unicode","sessionID=%d",0,""
"14119e7a8","unicode"," SessionId=%d",0,""
"14119e80a","unicode","Player=<%s> reason=%d SessionId=%d",0,""
"14119e8be","unicode"," SessionId=%d",0,""
"14119e916","unicode","To<%s> reason=%d SessionId=%d",0,""
"14119e988","unicode","sessionID=%d",0,""
"14119e9a8","unicode","m_bSessionState=JOIN&SID=%u",1,"140a528df"
"14119ea88","unicode"," SessionId=%d Time=%I64d",0,""
"14119eb2c","unicode","sessionID=%d",0,""
"14119eb8a","unicode","To<%s> LEAVE<%s> SessionId=%d",0,""
"14119ec00","unicode"," SessionId=%d Time=%I64d",0,""
"14119ec98","unicode"," SessionId=%d Time=%I64d",0,""
"14119ed5e","unicode"," SessionId=%d Time=%I64d",0,""
"14119edb8","unicode","m_bSessionState=JOIN&SID=%u",1,"140a52ac3"
"14119ee0c","unicode","sessionID=%d",0,""
"14119ee7e","unicode"," SessionId=%d",0,""
"14119efcc","unicode","sessionID=%d",0,""
"14119f01c","unicode","SessionId=%d",0,""
"14119f0ca","unicode"," SessionId=%d Time=%I64d",0,""
"14119f1f6","unicode","SessionId=%d",0,""
"14119f23c","unicode","SessionId=%d",0,""
"14119f274","unicode","sessionID=%d",0,""
"14119f316","unicode","SessionId=%d",0,""
"14119f40a","unicode"," SessionId=%d eventCode=%d",0,""
"14119f45c","unicode","sessionID=%d",0,""
"14119f4c6","unicode","SessionId=%d",0,""
"14119f5d4","unicode","sessionID=%d",0,""
"14119f626","unicode"," SessionId=%d Time=%I64d",0,""
"14119f752","unicode"," SessionId=%d",0,""
"14119f770","unicode","Recv ProtocolID_<%d>:FROM=%s SessionId=%d",1,"140a50cb6"
"14119f7e6","unicode"," SessionId=%d",0,""
"14119f840","unicode"," SessionId=%d Time=%I64d",0,""
"14119f91e","unicode"," SessionId=%d",0,""
"14119f97e","unicode"," SessionId=%d",0,""
"14119f9ce","unicode"," SessionId=%d",0,""
"14119fa0c","unicode"," SessionId=%d",0,""
"14119fa68","unicode","FROM=%s SessionId=%d",0,""
"14119fae6","unicode"," SessionId=%d",0,""
"14119fb3e","unicode"," SessionId=%d Time=%I64d",0,""
"14119fb70","unicode","m_bSessionState=LEAVE&SID=%u",1,"140a52d73"
"14119fbd6","unicode"," SessionId=%d",0,""
"14119fc6a","unicode"," SessionId=%d",0,""
"14119fe24","unicode","sessionID=%d",0,""
"14119feac","unicode","sessionID=%d",0,""
"14119ff76","unicode"," SessionId=%d",0,""
"1411a0038","unicode","SessionId=%d",0,""
"1411a008e","unicode"," SessionId=%d",0,""
"1411a00de","unicode","SessionId=%d",0,""
"1411a0146","unicode"," SessionId=%d",0,""
"1411a01cc","unicode","SessionId=%d",0,""
"1411a0236","unicode"," SessionId=%d",0,""
"1411a0304","unicode"," SessionId=%d",0,""
"1411a037c","unicode","sessionID=%d",0,""
"1411a0480","unicode"," SessionId=%d bShow=%d",0,""
"1411a0546","unicode","SessionId=%d",0,""
"1411a062c","unicode","SessionId=%d",0,""
"1411a0664","unicode","%u SessionId=%d",0,""
"1411a0732","unicode"," SessionId=%d bShow=%d",0,""
"1411a07d6","unicode","Member:%d/%d SessionId=%d",0,""
"1411a082c","unicode","sessionID=%d",0,""
"1411a08be","unicode","SessionId=%d",0,""
"1411a0906","unicode"," SessionId=%d",0,""
"1411a0a36","unicode","missCount=%d SessionId=%d",0,""
"1411a0a9c","unicode","SessionId=%d",0,""
"1411a1c80","unicode","..\..\source\surveillance\steam\SteamSurveillance.cpp",0,""
"1411a1e5a","unicode","SteamID:0x%I64x",0,""
"1411a1f80","unicode","..\..\source\surveillance\steam\SteamSurveillance.cpp",0,""
"1411a24e8","unicode","EVENT_LAN_DISCONNECT",1,"140a55d10"
"1411a2518","unicode","EVENT_LAN_CONNECT",1,"140a55d22"
"1411a25a0","unicode","EVENT_CREATE_SESSION",1,"140a55d6a"
"1411a25d0","unicode","EVENT_JOIN_SESSION",1,"140a55d7c"
"1411a25f8","unicode","EVENT_QUICK_JOIN_SESSION",1,"140a55d8e"
"1411a2630","unicode","EVENT_INVITE_SESSION",1,"140a55da0"
"1411a2690","unicode","EVENT_LEAVE_SESSION",1,"140a55dc4"
"1411a2740","unicode","EVENT_SEARCH_SESSION_END",1,"140a55e0c"
"1411a28b8","unicode","EVENT_SHOW_SESSION",1,"140a55e9c"
"1411a28e0","unicode","EVENT_HIDE_SESSION",1,"140a55eae"
"1411a2950","unicode","EVENT_LOAD_SESSION_PROPERTY",1,"140a55ee4"
"1411a2988","unicode","EVENT_STORE_SESSION_PROPERTY",1,"140a55ef6"
"1411a2a60","unicode","EVENT_SESSION_DISAPPEARED",1,"140a55f50"
"1411a2c00","unicode","EVENT_SEARCH_LOBBY_END",1,"140a55fe0"
"1411a2c30","unicode","EVENT_JOIN_LOBBY",1,"140a55ff2"
"1411a2c58","unicode","EVENT_LEAVE_LOBBY",1,"140a56004"
"1411a2c80","unicode","EVENT_GET_LOBBY_MEMBER_INFO",1,"140a56016"
"1411a2e20","unicode","EVENT_INVITE_SESSION_BY_PLAYER",1,"140a5609d"
"1411a3390","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",0,""
"1411a3420","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",0,""
"1411a34b0","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57514"
"1411a3540","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57587"
"1411a35d0","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57769"
"1411a3660","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57805"
"1411a45ba","unicode","sessionId=%d",0,""
"1411a4630","unicode","..\..\source\matching\SessionManager.cpp",1,"140a5b660"
"1411a6bc0","unicode","<%s> Leaved SessionId=%d",1,"140a60d29"
"1411a6c34","unicode","sessionId=%d",0,""
"1411a6cc8","unicode","SessionId=%d MemberId=%d",0,""
"1411a6d20","unicode","sessionId=%d",0,""
"1411a6d60","unicode","sessionId=%d",0,""
"1411a6dae","unicode","sessionId=%d memberId=%d",0,""
"1411a6e0a","unicode","sessionId=%d memberId=%d",0,""
"1411a6e68","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a6f6c","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a6fd0","unicode","Connect to <%s> port=%d type:%s sessionId=%d",0,""
"1411a7040","unicode","Connect to <%s> port=%d type:%s sessionId=%d",0,""
"1411a71cc","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a723c","unicode","SessionId=%d",0,""
"1411a72ac","unicode"," SessionId=%d MemberId=%d",0,""
"1411a7308","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a740c","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a74cc","unicode"," SessionId=%d MemberId=%d Time=%I64d",0,""
"1411a77a0","unicode","..\..\source\matching\SessionManagerRepository.cpp",1,"140a61573"
"1411a7f90","unicode","UserInfo( SteamId=0x%I64x, Name=%s )",1,"140a63ccc"
"1411a82b0","string","SteamPlayerData",2,"141085635"
"1411a82c0","unicode","SteamPlayerData",2,"141085640"
"1411a90f0","unicode","..\..\source\matching\steam\SteamFactory.cpp",1,"140a675ab"
"1411a9180","unicode","..\..\source\matching\steam\SteamFactory.cpp",1,"140a6752d"
"1411a9ce0","unicode","..\..\source\playerdata\steam\SteamOnlineIDDataManager.cpp",1,"140a68e3b"
"1411a9d90","unicode","..\..\source\playerdata\steam\SteamOnlineIDDataManager.cpp",1,"140a68e97"
"1411aaa10","unicode","NWUdpSocketManagerDecideDisconnectionCb ( %d, 0x%I64x )",1,"140a69bc5"
"1411ac5c0","unicode","..\..\source\matching\P2PConnection.cpp",0,""
"1411ac640","unicode","..\..\source\matching\P2PConnection.cpp",0,""
"1411ac790","unicode","CONNECTION_INACTIVE",0,""
"1411ac7b8","unicode","CONNECTION_PENDING",0,""
"1411ac7e0","unicode","CONNECTION_CONNECT_WAIT",0,""
"1411ac810","unicode","CONNECTION_DISCONNECT_WAIT",0,""
"1411ac848","unicode","CONNECTION_ACTIVE",0,""
"1411ac890","unicode","m_nLobbyID=%I64u&LID=%u",0,""
"1411ac948","unicode","Steam",1,"140a6e4e0"
"1411acbb0","unicode","..\..\source\matching\steam\SteamSessionManagerRepository.cpp",1,"140a6ead1"
"1411ad770","unicode"," SessionId=%d",0,""
"1411ad790","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a72e61"
"1411ad862","unicode"," SessionId=%d",0,""
"1411ad8b0","unicode","SteamMatchmaking()->LeaveLobby(0x%I64x)",1,"140a7525d"
"1411ad92a","unicode"," SessionId=%d",0,""
"1411ada7c","unicode","SessionId=%d",0,""
"1411adb28","unicode","remoteId=0x%I64x sessionId=%d",0,""
"1411adc16","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411adc9a","unicode","SessionId=%d Time=%I64d",0,""
"1411adcd0","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a754c7"
"1411add8e","unicode","Name=%s SessionId=%d MemberSteamId=0x%I64x",0,""
"1411ade36","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411adeb6","unicode","SessionId=%d Time=%I64d",0,""
"1411adf30","unicode","NotifyLobbyId:0x%I64x SessionId:%d",0,""
"1411adfa8","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411ae022","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411ae10e","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411ae1be","unicode","SessionId=%d Time=%I64d",0,""
"1411ae218","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411ae2ca","unicode"," SessionId=%d",0,""
"1411ae2f0","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a756f7"
"1411ae3a0","unicode","MemberSteamId:0x%I64x Error:%d SessionId:%d",0,""
"1411ae45e","unicode","MemberSteamId:0x%I64x Name:%s Error:%d SessionId:%d",0,""
"1411ae4e8","unicode"," SessionId=%d",0,""
"1411ae594","unicode"," SessionId=%d",0,""
"1411ae5f2","unicode","MemberSteamId:0x%I64x Error:%d SessionId:%d",0,""
"1411ae67c","unicode","SessionId=%d",0,""
"1411ae6cc","unicode"," SessionId=%d",0,""
"1411ae722","unicode","LobbyId=0x%I64x SessionId=%d",0,""
"1411ae788","unicode"," SessionId=%d",0,""
"1411ae810","unicode","_OnPersonaStateChange > SteamId:0x%I64x flag:0x%x",1,"140a73700"
"1411ae8ac","unicode","SessionId=%d",0,""
"1411ae8d0","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a73741"
"1411ae9d2","unicode"," SessionId=%d",0,""
"1411ae9f0","unicode","_OnLobbyChatUpdate > LobbyId:0x%I64x MemberSteamId:0x%I64x flag:0x%x",1,"140a73394"
"1411aeaa6","unicode"," SessionId=%d",0,""
"1411aead0","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a733db"
"1411aeb96","unicode"," SessionId=%d",0,""
"1411aebc0","unicode","_OnP2PSessionRequest > SteamId:0x%I64x",1,"140a7362f"
"1411aec50","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411aeccc","unicode"," SessionId=%d",0,""
"1411aed1c","unicode","MemberSteamId:0x%I64x SessionId:%d",0,""
"1411aedd0","unicode","_OnP2PSessionConnectFail > SteamId:0x%I64x ErrorCode:%d",1,"140a73561"
"1411aee80","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a74718"
"1411aef20","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a735a9"
"1411af080","unicode"," SessionId=%d",0,""
"1411af0a0","unicode","_OnBeginAuthResponse > SteamId:0x%I64x Result:%d",1,"140a732b0"
"1411af156","unicode","SessionId=%d",0,""
"1411af170","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a732f7"
"1411af27a","unicode","SessionId=%d Time=%d",0,""
"1411af2e2","unicode"," SessionId=%d",0,""
